Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum,Linkedin
3VC,https://www.three.vc/,"Peter-Behrens-Platz 10, Linz, Austria","Austria,Germany,Switzerland,Latvia,Estonia,Lithuania,Poland,Czech Republic,Romania,Bulgaria,Slovenia,Slovakia,Hungary,Croatia,Serbia,Ukraine,Armenia","3. Early Revenue,4. Scaling","We invest in AI, dev tools, deep tech, security, AR/VR, data analytics, digital health, app/mobile, new frontier

We start to support at Seed stage and invest in Series A, B and beyond.

We are looking for teams in the GSA & CEE region with the clear intention to make a difference in the world

We co-invest in syndicates with Tier 1 funds (eg. Forbes’ Midas List) with the ability to proactively support these teams.",VC,"$1,000,000","$5,000,000",https://www.linkedin.com/company/three-vc/
10K Ventures,https://www.10kventures.co/,"Berlin, Germany","Mexico,Brazil,Spain,Germany,Nigeria,Pakistan,Bangladesh,Singapore,Indonesia","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in emerging markets - Latam, MENA, and Emerging Asia - at pre-seed to seed stages. Focused on Low-PMF-High-Execution Risk type of verticals.",Angel network,"$100,000","$250,000",https://www.linkedin.com/company/10kventures
27V (Twenty Seven Ventures),https://twentyseven.ventures/,"Cayman Islands, KY","USA,Canada,UK,Hong Kong,Taiwan,New Zealand","2. Prototype,1. Idea or Patent,3. Early Revenue","We invest in global EdTech and Future of Work startups at the Pre-Seed/Seed stages. Check size ranging from $25K-$250K, avg is $100K.",VC,"$25,000","$250,000",https://www.linkedin.com/company/27v
50 Partners Capital,http://www.50partners.fr/,"62 rue Jean Jacques Rousseau, 75001 Paris",France,"1. Idea or Patent,2. Prototype,3. Early Revenue",We only invest in the companies accelerated by 50 Partners. ,Angel network,"$20,000","$500,000",https://www.linkedin.com/company/50-partners/
212,https://212.vc/,"Uvez Sokak, No:5, Arnavutkoy, Besiktas, Istanbul 34345, TR","Turkey,Romania,Albania,Azerbaijan,Bosnia-H,Bulgaria,Czech Republic,Lithuania,Serbia,Uzbekistan,UAE,Ukraine,Turkmenistan,Poland,Qatar,Hungary","4. Scaling,5. Growth",We invest in Series A with an average ticket size of €1-5 million and are looking for B2B tech solutions in the early and growth stage. We are sector agnostic. ,VC,"$1,000,000","$5,000,000",https://www.linkedin.com/company/212vc/
212Founders,https://www.212founders.ma/,"179 Angle des Boulevards de Londres et de la Résistance, Casablanca 20250, Morocco",Morocco,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in early-stage Moroccan startups after a 6-month incubation program.,"Incubator, Accelerator","$100,000","$1,000,000",https://www.linkedin.com/company/212-founders/
360 Capital,https://www.360cap.vc/,"13 Avenue de l’Opéra, 75001 Paris","France,Italy,Spain,UK,Germany,Portugal,Netherlands,Switzerland,Israel","2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage, innovative deeptech & digital enterprises across Europe. ",VC,"$150,000","$8,000,000",https://www.linkedin.com/company/360-capital-partners/
365.fintech,https://www.365fintech.vc/,"Dvořákovo nábrežie 4, 811 02, Bratislava, Slovakia ","Slovakia,Czech Republic,Hungary,Poland,Estonia,Latvia,Lithuania,UK,Germany,Belgium,Netherlands,Austria","3. Early Revenue,4. Scaling","We invest in innovative B2B and B2B2C fintech, insurtech and big data startups with a primary geographic focus on CEE, Balkans, Baltics and Europe at large. ",VC,"$50,000","$500,000",https://www.linkedin.com/company/365-fintech
1337 Ventures,https://1337.ventures/,"C-19-08, KL Trillion, 50400, Kuala Lumpur, Malaysia ","Malaysia,Vietnam,Philippines,Thailand","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in ideation and early stage startups that are looking to serve ASEAN markets. ,VC,"$2,500","$50,000",https://www.linkedin.com/company/1337ventures
2048 Ventures,https://www.2048.vc/,"New York, NY 10001, USA","USA,Canada","3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in pre-seed / smaller seed rounds as lead, and write $300-$600K checks. 
 
First and foremost, we always want to meet exceptional founders with a compelling vision and strong founder-market-fit, regardless of the industry they are building in.
 
We look for companies that are differentiated and defensible through data and technology.
 
Business models we like: API/Data Platforms, Marketplaces/Networks, B2B Vertical SaaS, Consumer Subscription with science/technology edge.
 
Sectors we gravitate towards: Anything API first, bio/genomics, digital health, frontier tech (preferably software/enablement layer, but would do hardware too), sustainability, AI/ML applications, fintech, femtech, eldertech, VR/AR. ",VC,"$300,000","$600,000",https://www.linkedin.com/company/2048vc
